,Unnamed: 0,Entity,Code,Year,Share - Question: mh3b - How much science helps to treat anxiety or depression - Answer: A lot - Gender: all - Age group: all,"GDP per capita, PPP (constant 2017 international $)",Population (historical),World regions according to OWID
19126,19126,French Guiana,GUF,2021,,,293023.0,
19209,19209,French Polynesia,PYF,2021,,,279807.0,
19243,19243,Gabon,GAB,2021,,13822.509,2376728.0,
19504,19504,Gambia,GMB,2021,,2076.5664,2576014.0,
19765,19765,Georgia,GEO,2021,,15486.659,3788450.0,
20026,20026,Germany,DEU,2021,,53395.65,83697082.0,
20287,20287,Ghana,GHA,2021,,5420.792,32518662.0,
20590,20590,Gibraltar,GIB,2021,,,36880.0,
20627,20627,Greece,GRC,2021,,29630.93,10579561.0,
20960,20960,Greenland,GRL,2021,,,56065.0,
20994,20994,Grenada,GRD,2021,,13688.298,116695.0,
21347,21347,Guadeloupe,GLP,2021,,,399156.0,
21431,21431,Guam,GUM,2021,,,163741.0,
21465,21465,Guatemala,GTM,2021,,8927.302,17598654.0,
21768,21768,Guernsey,GGY,2021,,,63436.0,
21802,21802,Guinea,GIN,2021,,2640.3442,13710516.0,
22063,22063,Guinea-Bissau,GNB,2021,,1831.3832,2058842.0,
22324,22324,Guyana,GUY,2021,,21925.223,815484.0,
22585,22585,Haiti,HTI,2021,,2881.1765,11374592.0,
22844,22844,High-income countries,,2021,,50378.188,1246789058.0,
23109,23109,Honduras,HND,2021,,5572.177,10289882.0,
23370,23370,Hong Kong,HKG,2021,,60037.445,7484604.0,
